scoring_method,domain,trial_type,ci_width_proportion_mean,variance,ci_width_proportion_mean_logit
*D* scores,Body image,tt1,0.522180993609565,3.5297306019101214e-4,0.0887822457705733
*D* scores,Body image,tt2,0.5422172359345134,9.785562866194534e-5,0.169271968122182
*D* scores,Body image,tt3,0.5795197100135931,1.8580998527205036e-4,0.32080206879264234
*D* scores,Body image,tt4,0.5413070548327537,4.054800696653503e-4,0.16560566542052266
*D* scores,Clinton-Trump,tt1,0.49666165668197887,4.63097326638305e-5,-0.013353571700259489
*D* scores,Clinton-Trump,tt2,0.48208506338706364,2.3203626334830064e-5,-0.07169043520580097
*D* scores,Clinton-Trump,tt3,0.46650180303036326,3.807562344261629e-5,-0.13419380581351378
*D* scores,Clinton-Trump,tt4,0.502374422002006,1.9638813705846688e-5,0.009497759404755054
*D* scores,Countries (1),tt1,0.5089034750868969,7.873431277483039e-5,0.03561766530447873
*D* scores,Countries (1),tt2,0.5449315250190669,7.54975932697345e-5,0.18021224251137233
*D* scores,Countries (1),tt3,0.5250166670682828,5.969058637168611e-5,0.10015029403021668
*D* scores,Countries (1),tt4,0.5571077512599443,2.835742452503999e-5,0.22943216089347157
*D* scores,Countries (2),tt1,0.5027308294209702,6.322275381678749e-5,0.010923426298984502
*D* scores,Countries (2),tt2,0.49004012841091493,5.539391332179113e-5,-0.039844756996396564
*D* scores,Countries (2),tt3,0.48683444750294924,6.718314547670082e-5,-0.05267438576595414
*D* scores,Countries (2),tt4,0.5331956155143339,7.545554759758411e-5,0.13297807229327396
*D* scores,Death (1),tt1,0.6464797317890886,3.496516383106264e-4,0.6036010275373396
*D* scores,Death (1),tt2,0.6018607723856974,1.3331158214747484e-4,0.4132243812150631
*D* scores,Death (1),tt3,0.46923450231156294,4.1373143502160785e-4,-0.12321765134428125
*D* scores,Death (1),tt4,0.5362904212871166,1.0935517473568496e-4,0.14541739677533308
*D* scores,Death (2),tt1,0.57089072543618,1.74998787307169e-4,0.2854862115689115
*D* scores,Death (2),tt2,0.5152137468566639,7.723812133180373e-5,0.06087377837193948
*D* scores,Death (2),tt3,0.5618708240534521,1.7069505973106336e-4,0.24875818388751333
*D* scores,Death (2),tt4,0.5079804560260586,1.7520638219810781e-4,0.03192453522113106
*D* scores,Death (3),tt1,0.5389325700206529,3.8526773051020843e-4,0.15604615984452175
*D* scores,Death (3),tt2,0.46172629023868694,1.4763308783048357e-4,-0.15339491484759848
*D* scores,Death (3),tt3,0.5468506866923754,1.8015725622778036e-4,0.18795411637969442
*D* scores,Death (3),tt4,0.4786161488492402,1.6727389196754673e-4,-0.08558761217217735
*D* scores,Disgust (1),tt1,0.5313014389635214,8.198541836331419e-5,0.12536970702791728
*D* scores,Disgust (1),tt2,0.5357152274225445,6.137635617835629e-5,0.143104629791313
*D* scores,Disgust (1),tt3,0.4201945945945946,8.93858550442334e-5,-0.32197461488242535
*D* scores,Disgust (1),tt4,0.46847256719868186,1.573752856237708e-4,-0.12627726494986283
*D* scores,Disgust (2),tt1,0.456897532625535,7.919220925219246e-5,-0.17283885985739522
*D* scores,Disgust (2),tt2,0.4993176894962353,1.4090165380007796e-4,-0.002729243709183734
*D* scores,Disgust (2),tt3,0.4820561498302362,9.843315198738124e-5,-0.07180623833890175
*D* scores,Disgust (2),tt4,0.4871874544836627,2.0253206104644896e-4,-0.05126140421729404
*D* scores,Friend-Enemy,tt1,0.40103297758073,8.269570928411815e-5,-0.4011628799269149
*D* scores,Friend-Enemy,tt2,0.4494501088326269,7.796733926599459e-5,-0.20289272571413933
*D* scores,Friend-Enemy,tt3,0.5415441634185348,7.820402352227801e-5,0.1665606551412479
*D* scores,Friend-Enemy,tt4,0.49059829059829063,7.838108391335235e-5,-0.03761127074578323
*D* scores,Gender (1),tt1,0.5208177309988867,7.599603380624128e-5,0.08331909114469224
*D* scores,Gender (1),tt2,0.5474939928126396,5.052861432389595e-5,0.19055045099471488
*D* scores,Gender (1),tt3,0.5349337266796859,7.302059004856786e-5,0.13996294515637384
*D* scores,Gender (1),tt4,0.54942001499581,1.2918439262951548e-4,0.19832759517371729
*D* scores,Gender (2),tt1,0.458512872832023,4.713610543479103e-5,-0.16633092634358235
